label,x,y
flat,3.7580686,-0.6245916
flat,0.26112938,-0.6927615
up,0.16639203,5.489921
up,2.4069114,3.348166
up,2.4422393,6.7619386
flat,2.9182,3.4225295
up,2.0358877,6.1502233
flat,0.37459242,0.89982784
flat,0.50945926,7.004267
flat,0.41717324,6.6502666
flat,5.995759,1.3749329
flat,3.4302657,0.6139449
flat,5.123457,0.56012315
flat,-0.41616377,5.606787
up,3.4821455,2.4256604
flat,0.7574522,5.3516955
up,2.041782,5.7818303
flat,5.0718384,-1.3791033
complex,4.6249866,5.7831793
flat,-1.0405663,4.412099
flat,2.969573,2.570744
flat,0.3340903,7.9308276
flat,0.029641783,10.003891
flat,-1.1267866,11.156981
flat,-1.3948617,10.493712
flat,-1.2549212,8.219307
complex,2.5385501,8.095299
complex,0.26892883,9.991375
flat,-1.1866807,8.596571
flat,1.5822994,7.941401
flat,0.68800265,7.546027
flat,0.6197698,7.6141834
flat,0.75974286,5.5386114
flat,-1.1087466,4.0064955
up,0.9692237,7.290191
complex,4.1372075,6.485045
flat,-3.3337715,7.5384617
flat,-2.1782188,2.8301442
flat,1.1046072,5.961957
flat,-0.9870657,4.132019
flat,0.7572641,5.6421547
flat,-0.63776773,0.9748987
flat,0.08460978,0.38000867
flat,-1.607313,2.1942167
flat,-2.2135935,6.0379972
flat,-0.661467,8.615534
flat,0.8450608,0.24043818
up,0.88527435,7.9033947
flat,-1.2737782,1.7840861
flat,0.6283116,4.3834925
flat,0.74503106,4.1767864
up,1.8207209,7.5051184
up,2.5564516,3.3193257
flat,0.8949014,4.93182
flat,0.6949159,1.1565837
up,1.0309439,2.209203
flat,2.3182175,5.0255957
up,1.1954665,1.9866664
up,1.8993131,2.6169937
flat,0.6336233,6.654162
up,3.8065934,3.1995199
flat,0.9173981,2.0571544
flat,1.5487728,0.0016064727
up,0.90950763,6.8379064
flat,-0.73563373,3.8908997
up,3.203386,5.628585
flat,5.506748,-1.3593522
flat,1.8290303,6.5415463
flat,-1.4876797,7.9140697
flat,0.6519802,5.517892
flat,4.2160974,4.756097
flat,-1.6795615,5.2766676
flat,-1.0011706,7.9066563
flat,0.17336278,2.4230525
flat,-2.9382038,3.8034048
flat,2.2365854,5.5711646
flat,-1.5798343,7.294865
flat,0.1983998,6.849854
flat,-3.0144145,5.05617
flat,-1.5172887,3.224848
up,5.1511683,3.1001258
complex,2.916511,7.140584
flat,2.8183916,0.26730987
up,0.5850896,4.9209404
flat,-0.9993533,4.768589
flat,0.60455245,8.195899
flat,2.8920584,2.4714875
up,2.2370017,2.97202
flat,-0.9621943,8.088418
flat,0.7900803,5.560794
flat,-1.54097,8.811985
flat,-0.9296653,6.961718
flat,-1.4862938,6.751572
flat,-0.6460034,2.5775425
up,0.046402663,6.2417045
flat,1.7795049,4.1570253
flat,0.02907105,6.3913994
flat,-0.8272763,3.0713892
flat,1.60205,2.1725204
flat,5.8957486,-1.0996236
up,1.6966572,1.7571577
flat,0.98479545,2.1684575
flat,-0.1956274,4.8273964
flat,0.9585119,5.995617
flat,-0.7564305,3.3199916
flat,-1.4999762,8.161804
flat,2.4892242,1.7000589
up,0.9330083,3.5129704
flat,-1.6353201,9.61909
flat,-0.51470274,5.631553
flat,0.1613015,3.041879
flat,2.5171874,2.253831
flat,1.8719058,4.3847904
flat,2.5309322,2.5923028
flat,3.2751172,2.9356678
flat,1.7573723,4.1748137
flat,-1.424835,6.8692994
flat,4.2787848,0.9981172
complex,-0.057391193,10.129851
flat,-0.44472906,10.238513
flat,-2.0669065,9.577869
flat,-0.1386653,10.044096
flat,-1.1967525,10.716607
flat,-0.63580674,8.459881
flat,3.9507854,-1.3939788
flat,0.23699391,9.318536
flat,-0.84183353,5.935077
flat,0.40010986,6.688394
flat,2.459098,5.256374
flat,0.652518,6.8027353
complex,4.4506392,7.859856
flat,-3.5347474,5.9450912
flat,2.816594,1.8970532
flat,0.6035925,8.674121
flat,1.157897,3.5847983
flat,-1.504691,3.6009781
flat,-3.6850877,7.3833237
flat,-2.0744588,5.381078
flat,-2.8127813,3.4176369
flat,-1.7001519,2.0014155
flat,1.4783268,0.7247686
flat,-1.1415195,8.104683
flat,-2.138689,5.5730615
flat,0.37529528,6.240198
flat,-1.0406147,7.674677
up,3.0063493,1.0915456
flat,-0.5534156,4.835725
flat,1.6073613,0.5341024
complex,4.3671484,5.6006083
flat,-0.9427719,5.3747625
flat,-1.9663409,2.4286542
flat,1.3186556,2.0803015
up,1.9803678,5.9483
flat,-0.2255948,0.5515275
flat,1.3226835,5.838222
up,0.29805297,4.122899
flat,-0.6229373,3.2469933
flat,-1.5124959,6.886332
flat,5.710388,1.7929544
flat,0.6367708,8.216832
flat,-1.7703426,6.682478
flat,-2.3857355,6.8705463
flat,5.8987284,1.5467807
flat,0.97689396,3.991784
flat,-2.5821214,6.4868627
flat,4.417343,0.14115521
flat,1.2810003,3.6374052
flat,-1.7773296,9.689808
flat,-0.1897174,8.056391
flat,-1.5589055,7.074232
complex,4.4308805,7.0225472
flat,-2.3993607,6.832089
flat,5.2441063,1.0164156
flat,-1.2543843,7.125555
flat,1.1615235,0.13197045
up,0.27951366,7.0487223
flat,-2.4846025,7.652769
complex,2.5238435,7.200848
flat,4.4068475,1.3890008
complex,0.8482679,8.396161
flat,-1.4079301,9.506284
flat,-2.5579443,7.56591
flat,-3.9230301,3.665515
flat,-0.03487097,5.769875
flat,5.2515574,0.9839192
flat,-2.110572,2.7326517
flat,7.625423,0.32774052
flat,-1.9170738,8.6659355
flat,0.81359154,5.7719054
flat,-0.57247144,7.402785
flat,-0.50633055,3.2972908
flat,-0.50594294,6.474339
flat,-1.3540304,1.4256088
